offense_id,datetime,offense_code,offense_type_id,offense_category_id,geo_lon,geo_lat
2015736160570700,2015-12-19 16:12:00,5707,criminal-trespassing,Trespassing,-105.004669,39.745717
2015736160501601,2015-12-19 16:12:00,5016,violation-of-court-order,all-other-crimes,-105.004669,39.745717
2015606313353200,2015-10-17 02:18:00,3532,drug-cocaine-possess,drug-alcohol,-105.0026267,39.7458593
201591451549900,2015-02-15 23:30:00,5499,traf-other,all-other-crimes,-105.0024895,39.7476542
2016329039239900,2016-05-12 14:20:00,2399,theft-other,larceny,-105.0020304,39.7456976
2016182848540100,2016-03-23 19:45:00,5401,traffic-accident-hit-and-run,traffic-accident,-105.0024895,39.7476542
2016210636540100,2016-03-29 10:30:00,5401,traffic-accident-hit-and-run,traffic-accident,-104.9621052,39.6760301
2015680435544100,2015-11-21 00:20:00,5441,traffic-accident,traffic-accident,-104.9617784,39.6778872
2015680535549900,2015-11-21 01:06:00,5499,traf-other,all-other-crimes,-105.0026267,39.7458593
2016116039239900,2016-02-23 16:35:00,2399,theft-other,larceny,-105.004669,39.745717
2016286642354200,2016-05-08 02:29:00,3542,drug-synth-narcotic-possess,drug-alcohol,-105.0026267,39.7458593
2016336875489900,2016-05-30 00:45:00,4899,police-interference,all-other-crimes,-105.0026267,39.7458593
2016336875549900,2016-05-30 00:45:00,5499,traf-other,all-other-crimes,-105.0026267,39.7458593
2016336577570700,2016-05-29 21:54:00,5707,criminal-trespassing,Trespassing,-104.9617784,39.6778872
2016193712570700,2016-03-28 23:46:00,5707,criminal-trespassing,Trespassing,-105.0020304,39.7456976
2016131990239900,2016-03-01 11:30:00,2399,theft-other,larceny,-105.004669,39.745717
2016202916544100,2016-04-01 23:53:00,5441,traffic-accident,traffic-accident,-105.0024895,39.7476542
201614892570700,2016-01-08 04:24:00,5707,criminal-trespassing,Trespassing,-105.004669,39.745717
201616281230800,2016-01-07 15:30:00,2308,theft-from-bldg,larceny,-105.004669,39.745717
2016177493570700,2016-04-17 21:05:00,5707,criminal-trespassing,Trespassing,-105.0020304,39.7456976
2016219510549900,2016-04-09 02:03:00,5499,traf-other,all-other-crimes,-105.0020304,39.7456976
2016441793739902,2016-07-13 01:15:00,7399,public-order-crimes-other,all-other-crimes,-105.0024895,39.7476542
2016281428549900,2016-05-06 00:05:00,5499,traf-other,all-other-crimes,-105.0026267,39.7458593
2016557646239901,2016-08-31 15:15:00,2399,theft-bicycle,larceny,-105.0020304,39.7456976
2016408868131600,2016-06-23 10:53:00,1316,threats-to-injure,public-disorder,-104.9621052,39.6760301
2016474176230800,2016-07-27 08:20:00,2308,theft-from-bldg,larceny,-105.0020304,39.7456976
2016348312570700,2016-06-03 23:48:00,5707,criminal-trespassing,Trespassing,-105.0020304,39.7456976
20164786544100,2016-01-03 08:35:00,5441,traffic-accident,traffic-accident,-105.0024895,39.7476542
2016432412239900,2016-07-08 17:50:00,2399,theft-other,larceny,-105.0024895,39.7476542
